"expt","sub","trial.no","rt"
"expt 1","000640",0,2446
"expt 1","000640",1,2364
"expt 1","000640",2,2829
"expt 1","000640",3,2463
"expt 1","000640",4,2264
"expt 1","000640",5,1949
"expt 1","000640",6,2762
"expt 1","000640",7,1749
"expt 1","000640",8,2048
"expt 1","000640",9,2363
"expt 1","000640",10,2198
"expt 1","000640",11,2214
"expt 1","000640",12,2031
"expt 1","000640",13,2264
"expt 1","000640",14,1749
"expt 1","000640",15,2048
"expt 1","000640",16,4057
"expt 1","000640",17,3542
"expt 1","000640",18,3592
"expt 1","000640",19,3144
"expt 1","000640",20,2363
"expt 1","000640",21,2430
"expt 1","000640",22,4754
"expt 1","000640",23,3493
"expt 1","000640",24,2944
"expt 1","000640",25,2596
"expt 1","000640",26,5004
"expt 1","000640",27,3443
"expt 1","000640",28,3210
"expt 1","000640",29,4456
"expt 1","000640",30,2729
"expt 1","000640",31,2828
"expt 1","000640",32,2562
"expt 1","000640",33,2263
"expt 1","000640",34,2264
"expt 1","000640",35,2114
"expt 1","000640",36,2363
"expt 1","000640",37,3227
"expt 1","000640",38,2712
"expt 1","000640",39,4074
"expt 1","000640",40,2546
"expt 1","000640",41,2330
"expt 1","000640",42,2512
"expt 1","000640",43,3078
"expt 1","000640",44,3343
"expt 1","000640",45,2580
"expt 1","000640",46,2762
"expt 1","000640",47,1998
"expt 1","000640",48,4804
"expt 1","000640",49,3641
"expt 1","000640",50,2014
"expt 1","000640",51,2314
"expt 1","000640",52,2247
"expt 1","000640",53,6032
"expt 1","000640",54,2247
"expt 1","000640",55,3176
"expt 1","000640",56,2895
"expt 1","000640",57,2546
"expt 1","000640",58,3941
"expt 1","000640",59,3509
"expt 1","000640",60,2147
"expt 1","000640",61,2264
"expt 1","000640",62,2596
"expt 1","000640",63,3725
"expt 1","001640",0,9718
"expt 1","001640",1,6115
"expt 1","001640",2,4273
"expt 1","001640",3,12042
"expt 1","001640",4,8075
"expt 1","001640",5,8806
"expt 1","001640",6,10017
"expt 1","001640",7,13719
"expt 1","001640",8,14566
"expt 1","001640",9,14200
"expt 1","001640",10,5285
"expt 1","001640",11,7162
"expt 1","001640",12,13918
"expt 1","001640",13,13437
"expt 1","001640",14,7710
"expt 1","001640",15,8025
"expt 1","001640",16,8805
"expt 1","001640",17,10398
"expt 1","001640",18,6149
"expt 1","001640",19,4970
"expt 1","001640",20,3675
"expt 1","001640",21,10847
"expt 1","001640",22,12043
"expt 1","001640",23,8772
"expt 1","001640",24,15513
"expt 1","001640",25,11959
"expt 1","001640",26,6912
"expt 1","001640",27,6265
"expt 1","001640",28,10382
"expt 1","001640",29,5634
"expt 1","001640",30,5767
"expt 1","001640",31,6846
"expt 1","001640",32,4571
"expt 1","001640",33,12524
"expt 1","001640",34,6348
"expt 1","001640",35,9685
"expt 1","001640",36,7826
"expt 1","001640",37,6664
"expt 1","001640",38,13454
"expt 1","001640",39,10282
"expt 1","001640",40,5468
"expt 1","001640",41,7028
"expt 1","001640",42,6863
"expt 1","001640",43,10681
"expt 1","001640",44,4887
"expt 1","001640",45,17289
"expt 1","001640",46,9984
"expt 1","001640",47,13305
"expt 1","001640",48,7460
"expt 1","001640",49,12475
"expt 1","001640",50,5286
"expt 1","001640",51,7444
"expt 1","001640",52,8523
"expt 1","001640",53,6929
"expt 1","001640",54,9420
"expt 1","001640",55,6929
"expt 1","001640",56,5070
"expt 1","001640",57,7826
"expt 1","001640",58,10150
"expt 1","001640",59,7527
"expt 1","001640",60,5385
"expt 1","001640",61,10134
"expt 1","001640",62,11478
"expt 1","001640",63,14682
"expt 1","002848",0,7991
"expt 1","002848",1,10084
"expt 1","002848",2,5601
"expt 1","002848",3,6879
"expt 1","002848",4,5368
"expt 1","002848",5,5585
"expt 1","002848",6,7344
"expt 1","002848",7,14567
"expt 1","002848",8,14600
"expt 1","002848",9,15081
"expt 1","002848",10,6581
"expt 1","002848",11,16641
"expt 1","002848",12,7842
"expt 1","002848",13,9967
"expt 1","002848",14,9187
"expt 1","002848",15,9552
"expt 1","002848",16,6415
"expt 1","002848",17,10382
"expt 1","002848",18,17056
"expt 1","002848",19,7643
"expt 1","002848",20,4439
"expt 1","002848",21,5569
"expt 1","002848",22,12624
"expt 1","002848",23,11478
"expt 1","002848",24,5103
"expt 1","002848",25,4057
"expt 1","002848",26,8855
"expt 1","002848",27,7427
"expt 1","002848",28,4505
"expt 1","002848",29,5551
"expt 1","002848",30,6381
"expt 1","002848",31,5352
"expt 1","002848",32,5999
"expt 1","002848",33,3558
"expt 1","002848",34,5335
"expt 1","002848",35,4538
"expt 1","002848",36,9120
"expt 1","002848",37,9702
"expt 1","002848",38,6314
"expt 1","002848",39,5551
