id,game_set,game,game_class,a1,a2,a11,a12,a21,a22,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,y4,y5,y6,y7,y8,cell0,cell1,cell2,cell3
1011,1,1,1,-1,1,2,0,3,1,2,2,0,3,3,0,1,1,50,50,30,60,60,30,40,40,"[50, 50]","[30, 60]","[60, 30]","[40, 40]"
1021,1,2,1,-1,3,2,0,3,3,2,2,0,3,3,0,3,3,50,50,30,60,60,30,60,60,"[50, 50]","[30, 60]","[60, 30]","[60, 60]"
1031,1,3,1,-3,3,2,0,5,3,2,2,0,5,5,0,3,3,50,50,30,80,80,30,60,60,"[50, 50]","[30, 80]","[80, 30]","[60, 60]"
1041,1,4,1,-3,1,2,0,5,1,2,2,0,5,5,0,1,1,50,50,30,80,80,30,40,40,"[50, 50]","[30, 80]","[80, 30]","[40, 40]"
1053,1,5,3,-3,-1,2,0,5,-1,2,2,0,5,5,0,-1,-1,50,50,30,80,80,30,20,20,"[50, 50]","[30, 80]","[80, 30]","[20, 20]"
1063,1,6,3,-3,-3,2,0,5,-3,2,2,0,5,5,0,-3,-3,50,50,30,80,80,30,0,0,"[50, 50]","[30, 80]","[80, 30]","[0, 0]"
1073,1,7,3,-1,-3,2,0,3,-3,2,2,0,3,3,0,-3,-3,50,50,30,60,60,30,0,0,"[50, 50]","[30, 60]","[60, 30]","[0, 0]"
1083,1,8,3,-1,-1,2,0,3,-1,2,2,0,3,3,0,-1,-1,50,50,30,60,60,30,20,20,"[50, 50]","[30, 60]","[60, 30]","[20, 20]"
1092,1,9,2,1,-1,2,0,1,-1,2,2,0,1,1,0,-1,-1,50,50,30,40,40,30,20,20,"[50, 50]","[30, 40]","[40, 30]","[20, 20]"
1102,1,10,2,1,-3,2,0,1,-3,2,2,0,1,1,0,-3,-3,50,50,30,40,40,30,0,0,"[50, 50]","[30, 40]","[40, 30]","[0, 0]"
1112,1,11,2,3,-3,2,0,-1,-3,2,2,0,-1,-1,0,-3,-3,50,50,30,20,20,30,0,0,"[50, 50]","[30, 20]","[20, 30]","[0, 0]"
1122,1,12,2,3,-1,2,0,-1,-1,2,2,0,-1,-1,0,-1,-1,50,50,30,20,20,30,20,20,"[50, 50]","[30, 20]","[20, 30]","[20, 20]"
1134,1,13,4,3,1,2,0,-1,1,2,2,0,-1,-1,0,1,1,50,50,30,20,20,30,40,40,"[50, 50]","[30, 20]","[20, 30]","[40, 40]"
1144,1,14,4,3,3,2,0,-1,3,2,2,0,-1,-1,0,3,3,50,50,30,20,20,30,60,60,"[50, 50]","[30, 20]","[20, 30]","[60, 60]"
1154,1,15,4,1,3,2,0,1,3,2,2,0,1,1,0,3,3,50,50,30,40,40,30,60,60,"[50, 50]","[30, 40]","[40, 30]","[60, 60]"
1164,1,16,4,1,1,2,0,1,1,2,2,0,1,1,0,1,1,50,50,30,40,40,30,40,40,"[50, 50]","[30, 40]","[40, 30]","[40, 40]"
2011,2,1,1,-1,1,2,0,3,1,2,2,0,3,3,0,1,1,50,50,30,60,60,30,40,40,"[50, 50]","[30, 60]","[60, 30]","[40, 40]"
2021,2,2,1,-1,3,2,-2,3,1,2,2,-2,3,3,-2,1,1,50,50,10,60,60,10,40,40,"[50, 50]","[10, 60]","[60, 10]","[40, 40]"
2031,2,3,1,-3,3,0,-2,3,1,0,0,-2,3,3,-2,1,1,30,30,10,60,60,10,40,40,"[30, 30]","[10, 60]","[60, 10]","[40, 40]"
2041,2,4,1,-3,1,0,0,3,1,0,0,0,3,3,0,1,1,30,30,30,60,60,30,40,40,"[30, 30]","[30, 60]","[60, 30]","[40, 40]"
2053,2,5,3,-3,-1,0,2,3,1,0,0,2,3,3,2,1,1,30,30,50,60,60,50,40,40,"[30, 30]","[50, 60]","[60, 50]","[40, 40]"
2063,2,6,3,-3,-3,0,4,3,1,0,0,4,3,3,4,1,1,30,30,70,60,60,70,40,40,"[30, 30]","[70, 60]","[60, 70]","[40, 40]"
2073,2,7,3,-1,-3,2,4,3,1,2,2,4,3,3,4,1,1,50,50,70,60,60,70,40,40,"[50, 50]","[70, 60]","[60, 70]","[40, 40]"
2083,2,8,3,-1,-1,2,2,3,1,2,2,2,3,3,2,1,1,50,50,50,60,60,50,40,40,"[50, 50]","[50, 60]","[60, 50]","[40, 40]"
2092,2,9,2,1,-1,4,2,3,1,4,4,2,3,3,2,1,1,70,70,50,60,60,50,40,40,"[70, 70]","[50, 60]","[60, 50]","[40, 40]"
2102,2,10,2,1,-3,4,4,3,1,4,4,4,3,3,4,1,1,70,70,70,60,60,70,40,40,"[70, 70]","[70, 60]","[60, 70]","[40, 40]"
2112,2,11,2,3,-3,6,4,3,1,6,6,4,3,3,4,1,1,90,90,70,60,60,70,40,40,"[90, 90]","[70, 60]","[60, 70]","[40, 40]"
2122,2,12,2,3,-1,6,2,3,1,6,6,2,3,3,2,1,1,90,90,50,60,60,50,40,40,"[90, 90]","[50, 60]","[60, 50]","[40, 40]"
2134,2,13,4,3,1,6,0,3,1,6,6,0,3,3,0,1,1,90,90,30,60,60,30,40,40,"[90, 90]","[30, 60]","[60, 30]","[40, 40]"
