time,date,subj,paired,condition,gender,age,payment,completed,included
1353934512.893,"2012-11-26 12:55:12:893000",000640,NULL,000,male,23,NULL,1,NULL
1353937395.462,"2012-11-26 13:43:15:462000",001360,000640,011,NULL,NULL,NULL,0,NULL
1353941790.707,"2012-11-26 14:56:30:707000",001744,000640,011,NULL,NULL,NULL,0,NULL
1353942213.968,"2012-11-26 15:03:33:968000",001640,000640,011,male,19,NULL,1,NULL
1353944781.862,"2012-11-26 15:46:21:862000",002848,001640,010,female,18,NULL,1,NULL
1353948936.131,"2012-11-26 16:55:36:131000",003080,002848,001,male,21,NULL,1,NULL
1354006901.41,"2012-11-27 09:01:41:410000",004488,003080,100,NULL,NULL,NULL,0,NULL
1354007158.276,"2012-11-27 09:05:58:276000",004640,003080,100,NULL,NULL,NULL,0,NULL
1354007534.944,"2012-11-27 09:12:14:944000",004592,003080,100,NULL,NULL,NULL,0,NULL
1354008298.719,"2012-11-27 09:24:58:719000",004256,003080,100,NULL,NULL,NULL,0,NULL
1354008334.596,"2012-11-27 09:25:34:596000",004080,003080,100,NULL,NULL,NULL,0,NULL
1354008466.909,"2012-11-27 09:27:46:909000",004536,003080,100,NULL,NULL,NULL,0,NULL
1354013960.459,"2012-11-27 10:59:20:459000",004768,003080,100,NULL,NULL,NULL,0,NULL
1354014151.574,"2012-11-27 11:02:31:574000",004720,003080,100,NULL,NULL,NULL,0,NULL
1354014503.769,"2012-11-27 11:08:23:769000",004128,003080,100,male,20,NULL,1,NULL
1354024899.799,"2012-11-27 14:01:39:799000",005616,004128,111,NULL,NULL,NULL,0,NULL
1354025140.588,"2012-11-27 14:05:40:588000",005488,004128,111,male,21,NULL,1,NULL
1354028399.622,"2012-11-27 14:59:59:622000",006512,005488,110,female,21,NULL,1,NULL
1354032005.005,"2012-11-27 16:00:05:005000",007872,006512,101,female,26,NULL,1,NULL
1354035619.35,"2012-11-27 17:00:19:350000",008896,007872,000,NULL,NULL,NULL,0,NULL
1354182827.775,"2012-11-29 09:53:47:775000",008000,007872,000,NULL,NULL,NULL,0,NULL
1354183371.921,"2012-11-29 10:02:51:921000",008408,007872,000,NULL,NULL,NULL,0,NULL
1354183548.377,"2012-11-29 10:05:48:377000",008664,007872,000,NULL,NULL,NULL,0,NULL
1354183961.071,"2012-11-29 10:12:41:071000",008256,007872,000,male,22,NULL,1,NULL
1354269239.875,"2012-11-30 09:53:59:875000",009128,008256,011,NULL,NULL,NULL,0,NULL
1354269865.844,"2012-11-30 10:04:25:844000",009512,008256,011,NULL,NULL,NULL,0,NULL
1354270639.075,"2012-11-30 10:17:19:075000",009976,008256,011,NULL,NULL,NULL,0,NULL
1354273476.576,"2012-11-30 11:04:36:576000",009024,008256,011,NULL,NULL,NULL,0,NULL
1354273752.55,"2012-11-30 11:09:12:550000",009848,008256,011,female,18,NULL,1,NULL
1354276561.064,"2012-11-30 11:56:01:064000",010024,009848,010,NULL,NULL,NULL,0,NULL
1354276710.051,"2012-11-30 11:58:30:051000",010744,009848,010,NULL,NULL,NULL,0,NULL
1354276971.966,"2012-11-30 12:02:51:966000",010872,009848,010,female,20,NULL,1,NULL
1354278756.828,"2012-11-30 12:32:36:828000",011104,010872,001,NULL,NULL,NULL,0,NULL
1354279148.333,"2012-11-30 12:39:08:333000",011872,010872,001,NULL,NULL,NULL,0,NULL
1354284253.721,"2012-11-30 14:04:13:721000",011280,010872,001,male,19,NULL,1,NULL
1354287451.087,"2012-11-30 14:57:31:087000",012896,011280,100,NULL,NULL,NULL,0,NULL
1354287786.169,"2012-11-30 15:03:06:169000",012384,011280,100,NULL,NULL,NULL,0,NULL
1354288560.525,"2012-11-30 15:16:00:525000",012616,011280,100,NULL,NULL,NULL,0,NULL
1354288995.437,"2012-11-30 15:23:15:437000",012232,011280,100,female,18,NULL,1,NULL
1354290990.599,"2012-11-30 15:56:30:599000",013512,012232,111,female,18,NULL,1,NULL
1354295193.582,"2012-11-30 17:06:33:582000",014872,013512,110,NULL,NULL,NULL,0,NULL
1354295490.3,"2012-11-30 17:11:30:300000",014104,013512,110,NULL,NULL,NULL,0,NULL
1354453553.375,"2012-12-02 13:05:53:375000",014024,013512,110,NULL,NULL,NULL,0,NULL
1354453709.287,"2012-12-02 13:08:29:287000",014280,013512,110,NULL,NULL,NULL,0,NULL
1354453729.358,"2012-12-02 13:08:49:358000",014208,013512,110,NULL,NULL,NULL,0,NULL
1354453769.319,"2012-12-02 13:09:29:319000",014232,013512,110,NULL,NULL,NULL,0,NULL
1354453805.64,"2012-12-02 13:10:05:640000",014848,013512,110,NULL,NULL,NULL,0,NULL
1354454042.166,"2012-12-02 13:14:02:166000",014384,013512,110,male,22,NULL,1,NULL
1354455117.254,"2012-12-02 13:31:57:254000",015280,014384,101,NULL,NULL,NULL,0,NULL
1354455238.277,"2012-12-02 13:33:58:277000",015464,014384,101,NULL,NULL,NULL,0,NULL
1354455336.417,"2012-12-02 13:35:36:417000",015720,014384,101,female,17,NULL,1,NULL
1354463546.918,"2012-12-02 15:52:26:918000",016280,015720,000,NULL,NULL,NULL,0,NULL
1354463623.619,"2012-12-02 15:53:43:619000",016000,015720,000,male,18,NULL,1,NULL
1354542853.456,"2012-12-03 13:54:13:456000",017640,016000,011,NULL,NULL,NULL,0,NULL
1354543064.177,"2012-12-03 13:57:44:177000",017976,016000,011,NULL,NULL,NULL,0,NULL
1354543539.343,"2012-12-03 14:05:39:343000",017872,016000,011,female,20,NULL,1,NULL
1354550565.598,"2012-12-03 16:02:45:598000",018536,017872,010,male,20,NULL,1,NULL
1354554541.996,"2012-12-03 17:09:01:996000",019104,018536,001,male,18,NULL,1,NULL
1354611724.183,"2012-12-04 09:02:04:183000",020232,019104,100,NULL,NULL,NULL,0,NULL
1354611750.076,"2012-12-04 09:02:30:076000",020104,019104,100,NULL,NULL,NULL,0,NULL
1354611861.156,"2012-12-04 09:04:21:156000",020536,019104,100,male,20,NULL,1,NULL
1354614766.449,"2012-12-04 09:52:46:449000",021024,020536,111,NULL,NULL,NULL,0,NULL
1354614805.678,"2012-12-04 09:53:25:678000",021872,020536,111,male,32,NULL,1,NULL
1354617589.501,"2012-12-04 10:39:49:501000",022872,021872,110,NULL,NULL,NULL,0,NULL
1354617633.545,"2012-12-04 10:40:33:545000",022384,021872,110,male,21,NULL,1,NULL
1354622287.588,"2012-12-04 11:58:07:588000",023464,022384,101,NULL,NULL,NULL,0,NULL
1354625526.064,"2012-12-04 12:52:06:064000",023488,022384,101,NULL,NULL,NULL,0,NULL
1354625668.257,"2012-12-04 12:54:28:257000",023408,022384,101,NULL,NULL,NULL,0,NULL
1354629394.249,"2012-12-04 13:56:34:249000",023512,022384,101,NULL,NULL,NULL,0,NULL
1354629593.778,"2012-12-04 13:59:53:778000",023256,022384,101,male,19,NULL,1,NULL
1354633070.191,"2012-12-04 14:57:50:191000",024640,023256,000,male,22,NULL,1,NULL
1354701748.471,"2012-12-05 10:02:28:471000",025848,024640,011,NULL,NULL,NULL,0,NULL
1354701899.805,"2012-12-05 10:04:59:805000",025488,024640,011,male,20,NULL,1,NULL
1354723145.445,"2012-12-05 15:59:05:445000",026976,025488,010,NULL,NULL,NULL,0,NULL
1354723325.323,"2012-12-05 16:02:05:323000",026152,025488,010,NULL,NULL,NULL,0,NULL
1354723966.504,"2012-12-05 16:12:46:504000",026000,025488,010,male,18,NULL,1,NULL
1354727032.97,"2012-12-05 17:03:52:970000",027720,026000,001,male,19,NULL,1,NULL
1354784484.621,"2012-12-06 09:01:24:621000",028872,027720,100,NULL,NULL,NULL,0,NULL
1354784607.879,"2012-12-06 09:03:27:879000",028512,027720,100,female,19,NULL,1,NULL
1354796099.871,"2012-12-06 12:14:59:871000",029256,028512,111,NULL,NULL,NULL,0,NULL
