time,date,subj,trial,game_id,cellorder,upper_left,upper_right,lower_left,lower_right,pressedkey,chosen_cells,play
1353934790.225,"2012-11-26 13:00:55",000640,0,1134,1032,"[30, 20]","[50, 50]","[40, 40]","[20, 30]",right,"0,2",NULL
1353934855.443,"2012-11-26 13:00:59",000640,1,2021,2301,"[60, 10]","[40, 40]","[50, 50]","[10, 60]",right,"3,1",NULL
1353934859.767,"2012-11-26 13:01:04",000640,2,2102,0123,"[70, 70]","[70, 60]","[60, 70]","[40, 40]",left,"0,2",NULL
1353934864.541,"2012-11-26 13:01:08",000640,3,2122,0123,"[90, 90]","[50, 60]","[60, 50]","[40, 40]",left,"0,2",NULL
1353934869.032,"2012-11-26 13:01:13",000640,4,3073,2301,"[60, 30]","[0, 0]","[50, 50]","[30, 60]",left,"2,0",NULL
1353934873.473,"2012-11-26 13:01:17",000640,5,4122,3210,"[40, 40]","[20, 50]","[50, 20]","[50, 50]",right,"2,0",NULL
1353934877.305,"2012-11-26 13:01:21",000640,6,2041,2301,"[60, 30]","[40, 40]","[30, 30]","[30, 60]",right,"3,1",NULL
1353934881.997,"2012-11-26 13:01:25",000640,7,3031,0123,"[30, 30]","[30, 60]","[60, 30]","[60, 60]",right,"1,3",NULL
1353934885.721,"2012-11-26 13:01:29",000640,8,3112,2301,"[60, 30]","[0, 0]","[90, 90]","[30, 60]",left,"2,0",NULL
1353934889.812,"2012-11-26 13:01:34",000640,9,2164,1032,"[30, 60]","[70, 70]","[40, 40]","[60, 30]",right,"0,2",NULL
1353934894.111,"2012-11-26 13:02:44",000640,10,1011,3210,"[40, 40]","[60, 30]","[30, 60]","[50, 50]",left,"3,1",NULL
1353934964.78,"2012-11-26 13:02:48",000640,11,2092,0123,"[70, 70]","[50, 60]","[60, 50]","[40, 40]",left,"0,2",NULL
1353934968.854,"2012-11-26 13:02:52",000640,12,1112,3210,"[0, 0]","[20, 30]","[30, 20]","[50, 50]",right,"2,0",NULL
1353934972.695,"2012-11-26 13:02:56",000640,13,3154,2301,"[60, 30]","[60, 60]","[70, 70]","[30, 60]",right,"3,1",NULL
1353934976.853,"2012-11-26 13:03:00",000640,14,2031,2301,"[60, 10]","[40, 40]","[30, 30]","[10, 60]",right,"3,1",NULL
1353934980.619,"2012-11-26 13:03:04",000640,15,1031,3210,"[60, 60]","[80, 30]","[30, 80]","[50, 50]",left,"3,1",NULL
1353934984.601,"2012-11-26 13:03:10",000640,16,4164,0123,"[50, 50]","[30, 40]","[40, 30]","[40, 40]",left,"0,2",NULL
1353934990.692,"2012-11-26 13:03:16",000640,17,3092,2301,"[60, 30]","[20, 20]","[70, 70]","[30, 60]",left,"2,0",NULL
1353934996.099,"2012-11-26 13:03:21",000640,18,1164,1032,"[30, 40]","[50, 50]","[40, 40]","[40, 30]",right,"0,2",NULL
1353935001.59,"2012-11-26 13:03:26",000640,19,3053,3210,"[20, 20]","[60, 30]","[30, 60]","[30, 30]",left,"3,1",NULL
1353935006.589,"2012-11-26 13:04:23",000640,20,3122,1032,"[30, 60]","[90, 90]","[20, 20]","[60, 30]",right,"0,2",NULL
1353935063.812,"2012-11-26 13:04:28",000640,21,2154,3210,"[40, 40]","[60, 10]","[10, 60]","[70, 70]",left,"3,1",NULL
1353935068.12,"2012-11-26 13:04:34",000640,22,3144,2301,"[60, 30]","[60, 60]","[90, 90]","[30, 60]",left,"2,0",NULL
1353935074.719,"2012-11-26 13:04:40",000640,23,3164,0123,"[70, 70]","[30, 60]","[60, 30]","[40, 40]",left,"0,2",NULL
1353935080.101,"2012-11-26 13:04:44",000640,24,2011,2301,"[60, 30]","[40, 40]","[50, 50]","[30, 60]",right,"3,1",NULL
1353935084.884,"2012-11-26 13:04:49",000640,25,1073,1032,"[30, 60]","[50, 50]","[0, 0]","[60, 30]",right,"0,2",NULL
1353935089.4,"2012-11-26 13:04:56",000640,26,4144,3210,"[40, 40]","[20, 10]","[10, 20]","[50, 50]",right,"2,0",NULL
1353935096.282,"2012-11-26 13:05:01",000640,27,2083,2301,"[60, 50]","[40, 40]","[50, 50]","[50, 60]",left,"2,0",NULL
1353935101.523,"2012-11-26 13:05:06",000640,28,3134,3210,"[40, 40]","[60, 30]","[30, 60]","[90, 90]",right,"2,0",NULL
1353935106.347,"2012-11-26 13:05:12",000640,29,1092,0123,"[50, 50]","[30, 40]","[40, 30]","[20, 20]",left,"0,2",NULL
1353935112.696,"2012-11-26 13:06:09",000640,30,4053,3210,"[40, 40]","[80, 50]","[50, 80]","[50, 50]",left,"3,1",NULL
1353935169.419,"2012-11-26 13:06:14",000640,31,2073,1032,"[70, 60]","[50, 50]","[40, 40]","[60, 70]",right,"0,2",NULL
1353935174.093,"2012-11-26 13:06:18",000640,32,4041,1032,"[30, 80]","[50, 50]","[40, 40]","[80, 30]",left,"1,3",NULL
1353935178.584,"2012-11-26 13:06:22",000640,33,4092,3210,"[40, 40]","[40, 50]","[50, 40]","[50, 50]",right,"2,0",NULL
1353935182.75,"2012-11-26 13:06:26",000640,34,1154,0123,"[50, 50]","[30, 40]","[40, 30]","[60, 60]",right,"1,3",NULL
1353935186.966,"2012-11-26 13:06:30",000640,35,4112,2301,"[20, 70]","[40, 40]","[50, 50]","[70, 20]",left,"2,0",NULL
1353935190.69,"2012-11-26 13:06:35",000640,36,2053,2301,"[60, 50]","[40, 40]","[30, 30]","[50, 60]",right,"3,1",NULL
1353935195.165,"2012-11-26 13:06:40",000640,37,1063,0123,"[50, 50]","[30, 80]","[80, 30]","[0, 0]",left,"0,2",NULL
1353935200.222,"2012-11-26 13:06:44",000640,38,4031,2301,"[80, 10]","[40, 40]","[50, 50]","[10, 80]",right,"3,1",NULL
1353935204.554,"2012-11-26 13:06:50",000640,39,4073,0123,"[50, 50]","[70, 60]","[60, 70]","[40, 40]",left,"0,2",NULL
